Open time,BTCBUSD_Open,BTCBUSD_High,BTCBUSD_Low,BTCBUSD_Close,BUSDUSDT_Volume,ETHBUSD_Open,ETHBUSD_High,ETHBUSD_Low,ETHBUSD_Close,BNBUSDT_Open,BNBUSDT_High,BNBUSDT_Low,BNBUSDT_Close,BUSDTRY_Volume,BNBBUSD_Open,BNBBUSD_High,BNBBUSD_Low,BNBBUSD_Close,ADABUSD_Open,ADABUSD_High,ADABUSD_Low,ADABUSD_Close,XRPBUSD_Open,XRPBUSD_High,XRPBUSD_Low,XRPBUSD_Close,LTCBUSD_Open,LTCBUSD_High,LTCBUSD_Low,LTCBUSD_Close,LINKBUSD_Open,LINKBUSD_High,LINKBUSD_Low,LINKBUSD_Close,VETBUSD_Open,VETBUSD_High,VETBUSD_Low,VETBUSD_Close,VETBUSD_Volume,ETCBUSD_Open,ETCBUSD_High,ETCBUSD_Low,ETCBUSD_Close,EOSBUSD_Open,EOSBUSD_High,EOSBUSD_Low,EOSBUSD_Close,TRXBUSD_Open,TRXBUSD_High,TRXBUSD_Low,TRXBUSD_Close,BCHBUSD_Open,BCHBUSD_High,BCHBUSD_Low,BCHBUSD_Close,XLMBUSD_Open,XLMBUSD_High,XLMBUSD_Low,XLMBUSD_Close,QTUMBUSD_Open,QTUMBUSD_High,QTUMBUSD_Low,QTUMBUSD_Close
2020-01-11,8195.91,8283.57,8002.09,8015.89,4325697.32,143.57,147.78,142.14,142.36,15.0643,15.32,14.7111,14.9177,461.45,15.0412,15.2919,14.74,14.896,0.03673,0.03765,0.03638,0.03672,0.21243,0.21949,0.20876,0.21121,48.93,51.84,47.84,49.32,2.2245,2.333,2.2191,2.2849,0.005418,0.005534,0.005356,0.005526,2886837.0,5.3481,5.8034,5.3336,5.5745,2.9714,3.1256,2.9408,2.9888,0.01468,0.01504,0.01447,0.01459,271.82,279.41,259.27,261.0,0.04793,0.04951,0.04745,0.04824,1.723,1.799,1.712,1.739
2020-01-12,8014.12,8180.08,7960.73,8180.08,3728605.05,142.28,145.95,141.76,145.75,14.9137,15.4707,14.8001,15.3366,335.22,14.88,15.4352,14.8059,15.325,0.03663,0.03782,0.03658,0.03782,0.21107,0.21624,0.21009,0.21487,49.27,51.68,48.86,51.4,2.2698,2.3093,2.2181,2.2181,0.005524,0.00558,0.005442,0.00552,6021663.0,5.5534,5.6174,5.3605,5.5623,2.9852,3.2112,2.9408,3.209,0.01459,0.01505,0.01443,0.01503,259.71,270.72,257.9,270.53,0.04818,0.04921,0.04805,0.04896,1.732,1.797,1.732,1.748
2020-01-13,8180.34,8188.69,8046.02,8101.69,2959539.76,146.68,146.68,142.19,143.67,15.337,15.3572,14.9295,15.1736,3490.49,15.3356,15.34,14.911,15.18,0.0377,0.0377,0.0368,0.03682,0.21509,0.21509,0.20979,0.21134,51.1,51.13,48.9,49.57,2.2252,2.2252,2.1558,2.1944,0.005513,0.005513,0.005351,0.005407,779450.0,5.5315,5.5315,5.3132,5.4821,3.2058,3.2058,3.0642,3.1033,0.01503,0.01506,0.01452,0.01464,272.5,272.5,260.99,267.36,0.0489,0.04896,0.04757,0.04812,1.751,1.752,1.683,1.701
2020-01-14,8101.68,8880.0,8101.68,8809.38,13381453.03,143.6,170.78,143.6,166.04,15.1735,16.91,15.1659,16.6371,3871.81,15.18,16.9082,15.1613,16.65,0.037,0.0427,0.037,0.0416,0.21145,0.24511,0.21145,0.235,49.76,60.67,49.76,58.55,2.2077,2.465,2.194,2.4055,0.00541,0.006037,0.00541,0.005997,9925033.0,5.4923,7.0,5.4923,6.8094,3.1032,4.0518,3.1032,3.817,0.01464,0.0172,0.01464,0.01678,267.5,367.56,267.5,349.08,0.04818,0.05527,0.04812,0.053,1.701,1.957,1.701,1.922
2020-01-15,8810.87,8899.0,8558.69,8813.85,9826565.01,165.46,171.76,159.03,166.15,16.6301,18.19,16.27,17.6655,3018.95,16.625,18.119,16.2629,17.6277,0.04154,0.043,0.03997,0.04269,0.23458,0.24329,0.22606,0.23341,58.38,60.24,55.43,58.12,2.3608,2.5519,2.3524,2.3994,0.005987,0.006242,0.005734,0.005998,5750433.0,6.7622,8.0714,6.6473,7.9943,3.8104,3.9447,3.5694,3.7667,0.01675,0.01814,0.01607,0.01729,348.43,361.7,312.94,339.76,0.05236,0.05656,0.05165,0.05476,1.898,2.099,1.881,1.974
2020-01-16,8813.82,8844.56,8581.81,8710.19,6590200.3,166.53,166.53,158.29,163.97,17.6655,17.6923,16.31,17.0333,186.31,17.6277,17.6277,16.3,17.04,0.04287,0.0432,0.04016,0.04149,0.23373,0.23457,0.2221,0.22846,58.17,58.37,54.74,57.64,2.4026,2.5072,2.3011,2.477,0.006009,0.006009,0.005703,0.005873,2570848.0,8.0353,8.609,7.3117,8.4068,3.7676,3.9381,3.5306,3.8356,0.01728,0.01738,0.01606,0.01729,340.24,341.99,309.35,326.53,0.05476,0.05489,0.05209,0.05359,1.974,1.997,1.857,1.939
2020-01-17,8709.23,9009.68,8661.63,8888.52,12779040.24,164.25,174.09,161.93,170.34,17.04,18.4849,17.04,18.0724,790.52,17.0602,18.4247,17.0602,18.028,0.04169,0.0458,0.04109,0.04491,0.22843,0.244,0.2263,0.23852,57.55,63.1,56.72,61.08,2.5067,2.8521,2.466,2.7033,0.005873,0.006564,0.005838,0.00632,8199798.0,8.3879,11.9857,8.1409,9.4706,3.839,4.064,3.7446,3.8979,0.01728,0.0181,0.01691,0.01756,326.96,381.89,319.81,366.2,0.0533,0.06438,0.0533,0.06078,1.928,2.206,1.894,2.091
2020-01-18,8893.76,8973.91,8800.0,8909.19,9375692.47,169.0,179.03,165.0,173.94,18.0763,18.3602,17.45,17.8088,25.65,18.0188,18.3103,17.4456,17.7795,0.04478,0.04558,0.04314,0.04489,0.23824,0.25392,0.23151,0.24322,60.81,62.32,57.91,59.18,2.6868,2.7736,2.5876,2.7665,0.006379,0.006379,0.006092,0.006242,4253428.0,9.5299,9.7355,8.0256,8.2923,3.8891,3.9944,3.7051,3.8018,0.01756,0.01818,0.0172,0.01765,365.94,403.89,331.0,337.24,0.06072,0.06599,0.05757,0.06168,2.081,2.118,1.976,2.041
2020-01-19,8906.67,9185.0,8480.0,8690.65,9395519.54,173.86,177.75,161.59,166.63,17.7954,18.495,16.6666,17.388,874.09,17.7742,18.4428,16.6612,17.3714,0.04505,0.04589,0.04128,0.04198,0.24313,0.25096,0.22691,0.2353,59.18,62.14,55.41,57.59,2.7529,2.8361,2.538,2.6207,0.006206,0.006282,0.005786,0.005844,6898352.0,8.2723,9.4306,7.7809,8.5325,3.8007,3.9218,3.4574,3.6087,0.01765,0.0181,0.016,0.01664,338.26,365.18,320.13,338.77,0.06118,0.06602,0.0584,0.06002,2.015,2.076,1.87,1.928
2020-01-20,8690.66,8730.79,8509.48,8626.06,5772762.16,167.06,169.0,161.22,166.68,17.3706,17.5516,16.8043,17.3235,353.11,17.3714,17.5,16.7828,17.28,0.04199,0.04406,0.0419,0.04406,0.2357,0.23596,0.22415,0.23322,57.74,58.11,55.84,57.21,2.6372,2.7393,2.5545,2.7033,0.005871,0.00595,0.005684,0.0058,1748486.0,8.5739,9.0704,8.0759,8.6193,3.6204,3.685,3.4814,3.6116,0.01664,0.01673,0.0161,0.01659,340.0,351.8,322.69,342.81,0.06018,0.06492,0.05926,0.06262,1.933,1.933,1.85,1.925
